Run,Step,Agent,Bidding
0,0,Lee,0.4985929831492205
0,0,Shin,0.5402222222222224
0,0,Kang,0.4703930199600581
0,0,Lim,0.3257037037037037
0,0,Ko,0.5411755707699882
0,1,Lee,0.48904889874719437
0,1,Shin,0.5145555555555555
0,1,Kang,0.6890082532522951
0,1,Lim,0.6994444444444448
0,1,Ko,0.5302834895690959
0,2,Lee,0.49967985784373176
0,2,Shin,0.5085925925925925
0,2,Kang,0.7183776269683088
0,2,Lim,0.6550370370370371
0,2,Ko,0.5232958401982795
0,3,Lee,0.535832566341698
0,3,Shin,0.5254814814814815
0,3,Kang,0.740271845309119
0,3,Lim,0.6196296296296298
0,3,Ko,0.5534630955853008
0,4,Lee,0.5408799825021179
0,4,Shin,0.4812222222222222
0,4,Kang,0.7593436941486903
0,4,Lim,0.639148148148148
0,4,Ko,0.5893480207237467
0,5,Lee,0.5885338826684957
0,5,Shin,0.4564074074074075
0,5,Kang,0.7465711456011254
0,5,Lim,0.6442962962962965
0,5,Ko,0.5496548248235088
0,6,Lee,0.5856437449497917
0,6,Shin,0.44355555555555554
0,6,Kang,0.6945697658921993
0,6,Lim,0.6500000000000001
0,6,Ko,0.6189219252121528
0,7,Lee,0.6135237242074898
0,7,Shin,0.5614444444444444
0,7,Kang,0.7224766981730442
0,7,Lim,0.6713703703703702
0,7,Ko,0.580042755785758
0,8,Lee,0.5274809906422052
0,8,Shin,0.4262222222222222
0,8,Kang,0.7768510971266568
0,8,Lim,0.6531481481481481
0,8,Ko,0.6254701275109552
0,9,Lee,0.6182640111291127
0,9,Shin,0.5013703703703704
0,9,Kang,0.7517412487970652
0,9,Lim,0.6443333333333335
0,9,Ko,0.6121570844223286
0,10,Lee,0.6121390626190539
0,10,Shin,0.4893703703703703
0,10,Kang,0.7267127431807058
0,10,Lim,0.7194814814814815
0,10,Ko,0.6158120674114589
0,11,Lee,0.5858207367470603
0,11,Shin,0.5380740740740743
0,11,Kang,0.802964220961889
0,11,Lim,0.659037037037037
0,11,Ko,0.616805961311671
0,12,Lee,0.6091089831619596
0,12,Shin,0.5176666666666665
0,12,Kang,0.8008007717223034
0,12,Lim,0.6711111111111111
0,12,Ko,0.6223785246995495
0,13,Lee,0.6108810970745988
0,13,Shin,0.584962962962963
0,13,Kang,0.7900387935659371
0,13,Lim,0.7003333333333334
0,13,Ko,0.5964481396891831
0,14,Lee,0.6055979399885886
0,14,Shin,0.6228888888888889
0,14,Kang,0.8012012719548952
0,14,Lim,0.6110740740740741
0,14,Ko,0.6520121611628319
0,15,Lee,0.6373561980472493
0,15,Shin,0.5718518518518519
0,15,Kang,0.7826384382268382
0,15,Lim,0.6539259259259259
0,15,Ko,0.6252566120129831
0,16,Lee,0.6268729033044648
0,16,Shin,0.5905925925925924
0,16,Kang,0.7850661599133734
0,16,Lim,0.6287777777777775
0,16,Ko,0.651768696930162
0,17,Lee,0.6045283292081414
0,17,Shin,0.7072222222222223
0,17,Kang,0.8452126055605017
0,17,Lim,0.6272592592592592
0,17,Ko,0.6642030694844132
0,18,Lee,0.6106216799446085
0,18,Shin,0.7373333333333335
0,18,Kang,0.8455417232406875
0,18,Lim,0.6842962962962963
0,18,Ko,0.6496809691983095
0,19,Lee,0.5511603383433392
0,19,Shin,0.7884074074074072
0,19,Kang,0.8154604933159623
0,19,Lim,0.6347037037037038
0,19,Ko,0.6965722929378518
0,20,Lee,0.5534216624854621
0,20,Shin,0.8224814814814814
0,20,Kang,0.8295400032130531
0,20,Lim,0.6330370370370372
0,20,Ko,0.6234623926965901
0,21,Lee,0.6023266999910722
0,21,Shin,0.884888888888889
0,21,Kang,0.8445216917278178
0,21,Lim,0.655333333333333
0,21,Ko,0.6374204085338792
0,22,Lee,0.622840463059624
0,22,Shin,0.8906296296296295
0,22,Kang,0.8537817177705324
0,22,Lim,0.6581481481481483
0,22,Ko,0.6420447873141282
0,23,Lee,0.6459516916469323
0,23,Shin,0.9033703703703705
0,23,Kang,0.8820985986692625
0,23,Lim,0.6485185185185184
0,23,Ko,0.6684352043885634
0,24,Lee,0.6196770541435143
0,24,Shin,0.9626296296296296
0,24,Kang,0.8705598035226875
0,24,Lim,0.6127407407407407
0,24,Ko,0.6693372190469837
0,25,Lee,0.6156049797880256
0,25,Shin,0.9375925925925925
0,25,Kang,0.8914889752368189
0,25,Lim,0.6385185185185185
0,25,Ko,0.7059838323090141
0,26,Lee,0.6178530832328
0,26,Shin,0.9797037037037037
0,26,Kang,0.8735944885996778
0,26,Lim,0.6774074074074073
0,26,Ko,0.6858049658118242
0,27,Lee,0.606470695174623
0,27,Shin,0.985
0,27,Kang,0.8897517347562374
0,27,Lim,0.6510370370370372
0,27,Ko,0.6681913554806598
0,28,Lee,0.6613031917910768
0,28,Shin,0.9576666666666667
0,28,Kang,0.8829457511211136
0,28,Lim,0.6348148148148147
0,28,Ko,0.6630706786944333
0,29,Lee,0.6542479407982345
0,29,Shin,0.9906666666666668
0,29,Kang,0.9167588483602579
0,29,Lim,0.676148148148148
0,29,Ko,0.657644904222552
0,30,Lee,0.6378883510580458
0,30,Shin,1.0
0,30,Kang,0.8852372240051545
0,30,Lim,0.6570370370370371
0,30,Ko,0.6865370010914021
0,31,Lee,0.6247890683048135
0,31,Shin,0.9933333333333333
0,31,Kang,0.9002458309003342
0,31,Lim,0.6594074074074076
0,31,Ko,0.6446203647942584
0,32,Lee,0.6341463864176187
0,32,Shin,1.0
0,32,Kang,0.9147665057854621
0,32,Lim,0.7344444444444442
0,32,Ko,0.684738831296255
0,33,Lee,0.6103854767070489
0,33,Shin,0.9933333333333333
0,33,Kang,0.9323949321882222
0,33,Lim,0.715814814814815
0,33,Ko,0.7013608939486822
0,34,Lee,0.6397817479239429
0,34,Shin,1.0
0,34,Kang,0.9191593833499622
0,34,Lim,0.688148148148148
0,34,Ko,0.7345043923663956
0,35,Lee,0.6874650437057191
0,35,Shin,0.9922222222222221
0,35,Kang,0.9250310371732935
0,35,Lim,0.7052592592592591
0,35,Ko,0.7040920055890098
0,36,Lee,0.6258695012279181
0,36,Shin,0.996
0,36,Kang,0.9326863253336728
0,36,Lim,0.6956296296296297
0,36,Ko,0.6926438798557234
0,37,Lee,0.6945940334844966
0,37,Shin,1.0
0,37,Kang,0.9373667033286037
0,37,Lim,0.6959999999999996
0,37,Ko,0.7358759326663598
0,38,Lee,0.6323804892010786
0,38,Shin,0.9952592592592592
0,38,Kang,0.923411820388117
0,38,Lim,0.7242222222222222
0,38,Ko,0.7021877088817639
0,39,Lee,0.6175539406596317
0,39,Shin,0.9934444444444445
0,39,Kang,0.9450858121332311
0,39,Lim,0.6882222222222222
0,39,Ko,0.7012733142332768
1,0,Lee,0.47217769060928655
1,0,Shin,0.5261111111111111
1,0,Kang,0.5336519657364841
1,0,Lim,0.8463703703703703
1,0,Ko,0.5337082182941945
1,1,Lee,0.5319530825014961
1,1,Shin,0.6131851851851853
1,1,Kang,0.7033232251736605
1,1,Lim,0.707962962962963
1,1,Ko,0.490392218377354
1,2,Lee,0.5456093144714528
1,2,Shin,0.6370000000000001
1,2,Kang,0.6948402365390406
1,2,Lim,0.6266296296296296
1,2,Ko,0.5239569971392455
1,3,Lee,0.5107347675509479
1,3,Shin,0.539888888888889
1,3,Kang,0.7196592157733213
1,3,Lim,0.6345925925925926
1,3,Ko,0.532508606377547
1,4,Lee,0.5279274214693791
1,4,Shin,0.5803333333333334
