Run,Step,Optimal Selection Rate
0,0,0.22499999999999998
0,1,0.33016666666666666
0,2,0.3361666666666666
0,3,0.5033333333333333
0,4,0.6005
0,5,0.5915
0,6,0.613
0,7,0.6233333333333332
0,8,0.7001666666666666
0,9,0.7373333333333334
0,10,0.7873333333333333
0,11,0.7566666666666666
0,12,0.8041666666666667
0,13,0.7831666666666667
0,14,0.7773333333333333
0,15,0.7855000000000001
0,16,0.7768333333333334
0,17,0.7631666666666667
0,18,0.7976666666666666
0,19,0.8009999999999998
0,20,0.8220000000000001
0,21,0.8005
0,22,0.8284999999999999
0,23,0.8021666666666668
0,24,0.819
0,25,0.7946666666666666
0,26,0.8159999999999998
0,27,0.7586666666666667
0,28,0.7239999999999998
0,29,0.7108333333333333
0,30,0.7091666666666667
0,31,0.6586666666666665
0,32,0.7164999999999999
0,33,0.6579999999999999
0,34,0.6421666666666666
0,35,0.6785
0,36,0.7260000000000001
0,37,0.6709999999999999
0,38,0.6978333333333334
0,39,0.6285000000000001
0,40,0.6756666666666665
0,41,0.6273333333333333
0,42,0.6718333333333333
0,43,0.6808333333333334
0,44,0.6735000000000001
0,45,0.65
0,46,0.6728333333333332
0,47,0.6421666666666667
0,48,0.649
0,49,0.6605
