Run,Step,Agent,Bidding on Winning
0,0,Lee,0.0
0,0,Shin,0.020399999999999995
0,0,Kang,0.3829921638077912
0,0,Lim,0.21203674370111014
0,0,Ko,0.2880259527028149
0,1,Lee,0.0
0,1,Shin,0.032866666666666655
0,1,Kang,0.5025818630170713
0,1,Lim,0.16732332205382494
0,1,Ko,0.32478250944915105
0,2,Lee,0.0
0,2,Shin,0.02946666666666666
0,2,Kang,0.6296902829760089
0,2,Lim,0.18547519228421014
0,2,Ko,0.37589919031482255
0,3,Lee,0.0
0,3,Shin,0.03399999999999999
0,3,Kang,0.5307526535680759
0,3,Lim,0.17433599799211316
0,3,Ko,0.33141562615706877
0,4,Lee,0.0
0,4,Shin,0.030599999999999992
0,4,Kang,0.5940997573210895
0,4,Lim,0.1716678869070638
0,4,Ko,0.3868773275314725
0,5,Lee,0.0
0,5,Shin,0.028333333333333325
0,5,Kang,0.5502586769745268
0,5,Lim,0.19040186960016472
0,5,Ko,0.34347678975311036
0,6,Lee,0.0
0,6,Shin,0.036266666666666655
0,6,Kang,0.6014196331425176
0,6,Lim,0.1935213597766968
0,6,Ko,0.2761340293428643
0,7,Lee,0.0
0,7,Shin,0.021533333333333328
0,7,Kang,0.6416697029863403
0,7,Lim,0.18747960914137032
0,7,Ko,0.29575211534681506
0,8,Lee,0.0
0,8,Shin,0.024933333333333328
0,8,Kang,0.5372199967335702
0,8,Lim,0.1986773305828731
0,8,Ko,0.2898696001774352
0,9,Lee,0.0
0,9,Shin,0.02606666666666666
0,9,Kang,0.5100978578547799
0,9,Lim,0.18160041994607132
0,9,Ko,0.3124591904250453
0,10,Lee,0.0
0,10,Shin,0.02606666666666666
0,10,Kang,0.5307005166879839
0,10,Lim,0.2083835671782287
0,10,Ko,0.28842503773848
0,11,Lee,0.0
0,11,Shin,0.01813333333333333
0,11,Kang,0.5723248420468601
0,11,Lim,0.22602641623737324
0,11,Ko,0.2720785518060956
0,12,Lee,0.0
0,12,Shin,0.024933333333333328
0,12,Kang,0.5628094951650717
0,12,Lim,0.20296039219801393
0,12,Ko,0.3171253766270008
0,13,Lee,0.0
0,13,Shin,0.021533333333333328
0,13,Kang,0.5476844839922096
0,13,Lim,0.19412136679353356
0,13,Ko,0.29343549342958536
0,14,Lee,0.0
0,14,Shin,0.01926666666666666
0,14,Kang,0.49298549474186054
0,14,Lim,0.2011876742883244
0,14,Ko,0.30412502408225406
0,15,Lee,0.0
0,15,Shin,0.021533333333333328
0,15,Kang,0.4238632071035283
0,15,Lim,0.22198749548472935
0,15,Ko,0.33326765357198
0,16,Lee,0.0
0,16,Shin,0.02266666666666666
0,16,Kang,0.4242938805647272
0,16,Lim,0.23557390472429088
0,16,Ko,0.3007386035592968
0,17,Lee,0.0
0,17,Shin,0.020399999999999995
0,17,Kang,0.4101516246008135
0,17,Lim,0.2185818542314006
0,17,Ko,0.33606467715236393
0,18,Lee,0.0
0,18,Shin,0.02606666666666666
0,18,Kang,0.4451790316249698
0,18,Lim,0.2056906182932002
0,18,Ko,0.37800000000000006
0,19,Lee,0.0
0,19,Shin,0.023799999999999995
0,19,Kang,0.391899277966334
0,19,Lim,0.21679918881696117
0,19,Ko,0.37201856386369997
0,20,Lee,0.0
0,20,Shin,0.01926666666666666
0,20,Kang,0.39210521809618515
0,20,Lim,0.21571929632385445
0,20,Ko,0.32466666666666666
0,21,Lee,0.0
0,21,Shin,0.024933333333333328
0,21,Kang,0.4261135850766824
0,21,Lim,0.19957952862163075
0,21,Ko,0.322
0,22,Lee,0.0
0,22,Shin,0.02606666666666666
0,22,Kang,0.4086313005213614
0,22,Lim,0.20090431085246765
0,22,Ko,0.3326666666666666
0,23,Lee,0.0
0,23,Shin,0.01926666666666666
0,23,Kang,0.3793252646767732
0,23,Lim,0.23958252070219188
0,23,Ko,0.33474074074074084
0,24,Lee,0.0
0,24,Shin,0.03173333333333333
0,24,Kang,0.35382366463409626
0,24,Lim,0.20262718690501924
